Title,Tail,Type,Make,Model,Serial Number,Aircraft Class,Base,Region,RMM,Status,Status Reason
N206SG,N206SG,Bell 206L-4,Bell,206L-4,52240,Rotary,"Bountiful, UT",WOODSCROSS,Martin Hodo,In Service,
N307KH,N307KH,Bell 407,Bell,407,53172,Rotary,Spare,—,,Spare,
N39KM,N39KM,Bell 407 GX,Bell,407 GX,54502,Rotary,"Greybull, WY",WY/MT,Tevita Silatolu,In Service,
N407BY,N407BY,Bell 407 GXi,Bell,407 GXi,54980,Rotary,"Burley, ID",ID/NV,John Cutright,In Service,
N407CH,N407CH,Bell 407,Bell,407,53011,Rotary,"Page, AZ",PAGE,Sean Brown,In Service,
N407CN,N407CN,Bell 407,Bell,407,53314,Rotary,"Rexburg, ID",ID/NV,John Cutright,In Service,
N407CP,N407CP,Bell 407,Bell,407,53095,Rotary,Spare,—,Dwight Brooks,Spare,
N407CZ,N407CZ,Bell 407 GXi,Bell,407 GXi,54981,Rotary,"Fort Mohave, AZ",UT/AZ,Dwight Brooks,In Service,
N407FC,N407FC,Bell 407,Bell,407,53050,Rotary,"Lander, WY",WY/MT,Tevita Silatolu,In Service,
N407FM,N407FM,Bell 407 GXi,Bell,407 GXi,54930,Rotary,"Kingman, AZ",UT/AZ,Dwight Brooks,In Service,
N407JM,N407JM,Bell 407,Bell,407,53732,Rotary,Spare,—,,Spare,
N407LF,N407LF,Bell 407 GX,Bell,407 GX,54504,Rotary,Spare,—,,Spare,
N407LP,N407LP,Bell 407 GX,Bell,407 GX,54503,Rotary,"Glenwood Springs, CO",CO/NM,Chris Gibson,In Service,
N407MZ,N407MZ,Bell 407 GXi,Bell,407 GXi,56305,Rotary,"Los Alamos, NM",CO/NM,Chris Gibson,In Service,
N407NW,N407NW,Bell 407 GXi,Bell,407 GXi,56368,Rotary,"Page, AZ",PAGE,Sean Brown,In Service,
N407PW,N407PW,Bell 407 GXi,Bell,407 GXi,56363,Rotary,"Ely, NV",ID/NV,John Cutright,In Service,
N407RU,N407RU,Bell 407 GXi,Bell,407 GXi,54988,Rotary,"Richfield, UT",UT/AZ,Dwight Brooks,In Service,
N407SL,N407SL,Bell 407 GXi,Bell,407 GXi,54985,Rotary,"Cortez, CO",CO/NM,Chris Gibson,In Service,
N407TH,N407TH,Bell 407,Bell,407,53558,Rotary,"Moab, UT",UT/AZ,Dwight Brooks,In Service,
N407TK,N407TK,Bell 407 GXP,Bell,407 GXP,54662,Rotary,"Rawlins, WY",WY/MT,Tevita Silatolu,In Service,
N407ZM,N407ZM,Bell 407,Bell,407,53972,Rotary,"Steamboat Springs, CO",CO/NM,Chris Gibson,In Service,
N466GH,N466GH,Bell 407,Bell,407,54103,Rotary,"Winnemucca, NV",ID/NV,John Cutright,In Service,
N469JX,N469JX,Bell 407,Bell,407,54109,Rotary,"Elko, NV",ID/NV,John Cutright,In Service,
N7160V,N7160V,Bell 407,Bell,407,53013,Rotary,Spare,—,,Spare,
